rok,miesiac,liczba,imie,plec
514,2012,7,13,Natalia,0
515,2012,6,18,Natalia,0
516,2012,5,16,Natalia,0
517,2012,4,6,Natalia,0
518,2012,3,7,Natalia,0
519,2012,2,12,Natalia,0
520,2012,1,16,Natalia,0
521,2011,12,10,Natalia,0
522,2011,11,6,Natalia,0
523,2011,10,13,Natalia,0
524,2011,9,4,Natalia,0
525,2011,8,9,Natalia,0
526,2011,7,9,Natalia,0
527,2011,6,16,Natalia,0
528,2011,5,12,Natalia,0
529,2011,4,8,Natalia,0
530,2011,3,17,Natalia,0
531,2011,2,12,Natalia,0
532,2011,1,16,Natalia,0
533,2010,12,11,Natalia,0
534,2010,11,13,Natalia,0
535,2010,10,11,Natalia,0
536,2010,9,12,Natalia,0
537,2010,8,11,Natalia,0
538,2010,7,5,Natalia,0
539,2010,6,9,Natalia,0
540,2010,5,18,Natalia,0
541,2010,4,6,Natalia,0
542,2010,3,12,Natalia,0
543,2010,2,14,Natalia,0
544,2010,1,14,Natalia,0
545,2009,12,16,Natalia,0
546,2009,11,12,Natalia,0
547,2009,10,11,Natalia,0
548,2009,9,26,Natalia,0
549,2009,8,15,Natalia,0
550,2009,7,22,Natalia,0
551,2009,6,11,Natalia,0
552,2009,5,14,Natalia,0
553,2009,4,25,Natalia,0
554,2009,3,19,Natalia,0
555,2009,2,6,Natalia,0
556,2009,1,11,Natalia,0
557,2008,12,17,Natalia,0
558,2008,11,20,Natalia,0
559,2008,10,23,Natalia,0
560,2008,9,20,Natalia,0
561,2008,8,21,Natalia,0
562,2008,7,17,Natalia,0
563,2008,6,17,Natalia,0
564,2008,5,6,Natalia,0
565,2008,4,21,Natalia,0
566,2008,3,15,Natalia,0
567,2008,2,19,Natalia,0
568,2008,1,23,Natalia,0
569,2007,12,16,Natalia,0
570,2007,11,18,Natalia,0
571,2007,10,24,Natalia,0
572,2007,9,25,Natalia,0
573,2007,8,19,Natalia,0
574,2007,7,16,Natalia,0
575,2007,6,20,Natalia,0
576,2007,5,15,Natalia,0
577,2007,4,30,Natalia,0
578,2007,3,25,Natalia,0
579,2007,2,15,Natalia,0
580,2007,1,17,Natalia,0
581,2006,12,17,Natalia,0
582,2006,11,22,Natalia,0
583,2006,10,19,Natalia,0
584,2006,9,18,Natalia,0
585,2006,8,22,Natalia,0
586,2006,7,30,Natalia,0
587,2006,6,32,Natalia,0
588,2006,5,16,Natalia,0
589,2006,4,28,Natalia,0
590,2006,3,31,Natalia,0
591,2006,2,19,Natalia,0
592,2006,1,14,Natalia,0
593,2005,12,17,Natalia,0
594,2005,11,26,Natalia,0
595,2005,10,26,Natalia,0
