"Product_Name","GPU_Chip","Released","Bus","Memory","GPU_clock","Memory_clock","Shaders.TMUs.ROPs","Manufacturer","Classification"
"GeForce FX Go5250","NV34 A1","Mar 2003","AGP 8x","64 MB, DDR, 128 bit","250 MHz","250 MHz","4 / 3 / 4 / 4","AMD","Mobile"
"GeForce FX Go5300","NV34 A1","Mar 2003","AGP 8x","64 MB, DDR, 128 bit","275 MHz","250 MHz","4 / 3 / 4 / 4","AMD","Mobile"
"GeForce FX Go5350","NV34 A1","Mar 2003","AGP 8x","64 MB, DDR, 128 bit","275 MHz","275 MHz","4 / 3 / 4 / 4","AMD","Mobile"
"GeForce FX Go5600","NV31","Mar 2003","AGP 8x","128 MB, DDR, 128 bit","275 MHz","250 MHz","4 / 3 / 4 / 4","AMD","Mobile"
"GeForce FX Go5650","NV31","Mar 2003","AGP 8x","128 MB, DDR, 128 bit","325 MHz","295 MHz","4 / 3 / 4 / 4","AMD","Mobile"
"GeForce4 Go 4200","NV28 A1","Nov 2002","AGP 8x","64 MB, DDR, 64 bit","200 MHz","200 MHz","4 / 2 / 8 / 4","AMD","Mobile"
"GeForce4 460 Go","NV17 A5","Oct 2002","AGP 8x","64 MB, DDR, 128 bit","250 MHz","250 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce4 448 Go","NV18 A4","Mar 2002","AGP 8x","64 MB, DDR, 128 bit","200 MHz","200 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce4 488 Go","NV18 A4","Mar 2002","AGP 8x","64 MB, DDR, 128 bit","300 MHz","275 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce4 410 Go","NV17 A3","Feb 2002","AGP 8x","16 MB, DDR, 64 bit","200 MHz","200 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce4 420 Go","NV17 A5","Feb 2002","AGP 8x","32 MB, DDR, 64 bit","200 MHz","200 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce4 440 Go","NV17 A5","Feb 2002","AGP 8x","64 MB, DDR, 128 bit","220 MHz","220 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"XGPU-B","NV2A","Nov 2001","AGP 4x","64 MB, DDR, 128 bit","233 MHz","200 MHz","4 / 2 / 8 / 4","AMD","Mobile"
"XGPU-S","NV2A","Nov 2001","AGP 4x","64 MB, DDR, 128 bit","233 MHz","200 MHz","4 / 2 / 8 / 4","AMD","Mobile"
"GeForce2 Go 100","NV11 B2","Feb 2001","AGP 4x","16 MB, DDR, 32 bit","125 MHz","166 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce2 Go 200","NV11 B2","Feb 2001","AGP 4x","32 MB, DDR, 64 bit","143 MHz","166 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce2 Go","NV11 B2","Nov 2000","AGP 4x","64 MB, DDR, 64 bit","143 MHz","166 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce2 Go","NV11 B2","Nov 2000","AGP 4x","64 MB, DDR, 128 bit","143 MHz","166 MHz","2 / 0 / 4 / 2","AMD","Mobile"
"GeForce 705M","GF119","Unreleased","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","48 / 8 / 4","AMD","Mobile"
"GeForce 920A","GK208","Unreleased","PCIe 3.0 x8","2048 MB, DDR3, 64 bit","575 MHz","900 MHz","384 / 16 / 8","AMD","Mobile"
"GeForce 920M","GK208","Unreleased","PCIe 3.0 x8","2048 MB, DDR3, 64 bit","575 MHz","900 MHz","384 / 16 / 8","AMD","Mobile"
"GeForce 930M","GM108","Unreleased","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","1001 MHz","384 / 16 / 8","AMD","Mobile"
"GeForce 940A","GM108","Unreleased","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","1001 MHz","384 / 16 / 8","AMD","Mobile"
"GeForce 940M","GM108","Unreleased","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","1001 MHz","384 / 16 / 8","AMD","Mobile"
"GeForce 940M","GM107","Unreleased","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","1029 MHz","1253 MHz","640 / 40 / 16","AMD","Mobile"
"GeForce GTX 950M","GM107","Unreleased","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","1029 MHz","1253 MHz","640 / 40 / 16","AMD","Mobile"
"GeForce GTX 960M","GM107","Unreleased","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","1029 MHz","1253 MHz","640 / 40 / 16","AMD","Mobile"
"Mobility Radeon HD 5570","Madison","Nov 2012","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","550 MHz","800 MHz","400 / 20 / 8","ATI","Mobile"
"Mobility Radeon HD 530v","M92","May 2010","MXM-A (3.0)","512 MB, GDDR3, 64 bit","500 MHz","600 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 540v","M92","May 2010","MXM-A (3.0)","512 MB, GDDR3, 64 bit","550 MHz","800 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 545v","M92","May 2010","MXM-A (3.0)","512 MB, GDDR3, 64 bit","720 MHz","800 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 550v","M96","May 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","450 MHz","600 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 560v","M96","May 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","550 MHz","800 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 565v","M96","May 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","675 MHz","800 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 5670 Mac Edition","Madison","Apr 2010","PCIe 2.0 x16","512 MB, GDDR3, 128 bit","650 MHz","795 MHz","400 / 20 / 8","ATI","Mobile"
"Mobility Radeon HD 5145","M92","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 64 bit","720 MHz","900 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 5165","M96","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","600 MHz","900 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 5430","Park","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 64 bit","500 MHz","800 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 5450","Park","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 64 bit","675 MHz","800 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 5470","Park","Jan 2010","PCIe 2.0 x16","512 MB, GDDR5, 64 bit","750 MHz","800 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 5650","Madison","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","450 MHz","800 MHz","400 / 20 / 8","ATI","Mobile"
"Mobility Radeon HD 5730","Madison","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","650 MHz","800 MHz","400 / 20 / 8","ATI","Mobile"
"Mobility Radeon HD 5750","Madison","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","550 MHz","800 MHz","400 / 20 / 8","ATI","Mobile"
"Mobility Radeon HD 5770","Madison","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","650 MHz","800 MHz","400 / 20 / 8","ATI","Mobile"
"Mobility Radeon HD 5830","Broadway","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","500 MHz","800 MHz","800 / 40 / 16","ATI","Mobile"
"Mobility Radeon HD 5850","Broadway","Jan 2010","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","500 MHz","1000 MHz","800 / 40 / 16","ATI","Mobile"
"Mobility Radeon HD 5850 Mac Edition","Broadway","Jan 2010","MXM-B (3.0)","1024 MB, GDDR5, 128 bit","628 MHz","1000 MHz","800 / 40 / 16","ATI","Mobile"
"Mobility Radeon HD 5870","Broadway","Jan 2010","MXM-B (3.0)","1024 MB, GDDR5, 128 bit","700 MHz","1000 MHz","800 / 40 / 16","ATI","Mobile"
"Mobility Radeon HD 4550","M92","Jan 2010","MXM-II","512 MB, GDDR3, 64 bit","550 MHz","700 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 4670 Mac Edition","M96","Sep 2009","MXM-A (3.0)","256 MB, GDDR3, 128 bit","680 MHz","790 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 4850 Mac Edition","M98","Aug 2009","PCIe 2.0 x16","512 MB, GDDR3, 256 bit","503 MHz","850 MHz","800 / 40 / 16","ATI","Mobile"
"Radeon E4690","RV730","Jun 2009","MXM-A (3.0)","512 MB, GDDR3, 128 bit","600 MHz","700 MHz","320 / 32 / 8","ATI","Mobile"
"Radeon E4690","RV730","Jun 2009","MXM-II","512 MB, GDDR3, 128 bit","600 MHz","700 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 4830","M97","Mar 2009","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","550 MHz","700 MHz","640 / 32 / 16","ATI","Mobile"
"Mobility Radeon HD 4860","M97","Mar 2009","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","650 MHz","1000 MHz","640 / 32 / 16","ATI","Mobile"
"Mobility Radeon HD 4330","M92","Jan 2009","MXM-A (3.0)","512 MB, GDDR3, 64 bit","450 MHz","600 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 4350","M92","Jan 2009","MXM-A (3.0)","512 MB, GDDR3, 64 bit","450 MHz","600 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 4530","M92","Jan 2009","MXM-II","512 MB, GDDR3, 64 bit","500 MHz","700 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 4570","M92","Jan 2009","MXM-II","512 MB, GDDR3, 64 bit","680 MHz","800 MHz","80 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 4650","M96","Jan 2009","PCIe 2.0 x16","512 MB, DDR2, 128 bit","500 MHz","600 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 4670","M96","Jan 2009","MXM-A (3.0)","512 MB, GDDR3, 128 bit","675 MHz","800 MHz","320 / 32 / 8","ATI","Mobile"
"Mobility Radeon HD 4850","M98","Jan 2009","PCIe 2.0 x16","1024 MB, GDDR3, 256 bit","500 MHz","850 MHz","800 / 40 / 16","ATI","Mobile"
"Mobility Radeon HD 4850 X2","M98","Jan 2009","PCIe 2.0 x16","1024 MB x2, GDDR5, 256 bit x2","500 MHz","700 MHz","800 x2 / 40 x2 / 16 x2","ATI","Mobile"
"Mobility Radeon HD 4870","M98","Jan 2009","PCIe 2.0 x16","512 MB, GDDR3, 256 bit","550 MHz","888 MHz","800 / 40 / 16","ATI","Mobile"
"Mobility Radeon HD 4870 X2","M98","Jan 2009","PCIe 2.0 x16","1024 MB x2, GDDR5, 256 bit x2","550 MHz","700 MHz","800 x2 / 40 x2 / 16 x2","ATI","Mobile"
"Mobility Radeon HD 3870 X2","M88","Sep 2008","PCIe 2.0 x16","512 MB x2, GDDR3, 256 bit x2","660 MHz","850 MHz","320 x2 / 16 x2 / 16 x2","ATI","Mobile"
"Mobility Radeon HD 3410","M82","Jul 2008","MXM-II","256 MB, DDR2, 64 bit","400 MHz","400 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 3430","M82-SE","Jul 2008","MXM-II","256 MB, DDR2, 64 bit","450 MHz","400 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 3850","M88","Jun 2008","PCIe 2.0 x16","512 MB, GDDR3, 256 bit","580 MHz","750 MHz","320 / 16 / 16","ATI","Mobile"
"Mobility Radeon HD 3850 X2","M88","Jun 2008","PCIe 2.0 x16","512 MB x2, GDDR3, 256 bit x2","580 MHz","750 MHz","320 x2 / 16 x2 / 16 x2","ATI","Mobile"
"Mobility Radeon HD 3870","M88","Jun 2008","PCIe 2.0 x16","512 MB, GDDR3, 256 bit","660 MHz","850 MHz","320 / 16 / 16","ATI","Mobile"
"Mobility Radeon HD 3450","M82","Jan 2008","MXM-II","256 MB, DDR2, 64 bit","500 MHz","400 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 3470","M82","Jan 2008","MXM-II","256 MB, DDR2, 64 bit","680 MHz","400 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 3650","M86","Jan 2008","MXM-II","512 MB, GDDR3, 128 bit","500 MHz","700 MHz","120 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 3670","M86","Jan 2008","PCIe 2.0 x16","256 MB, GDDR3, 128 bit","680 MHz","800 MHz","120 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 2700","M76","Dec 2007","MXM-II","256 MB, GDDR3, 128 bit","700 MHz","700 MHz","120 / 8 / 4","ATI","Mobile"
"Mobility Radeon X1600 Mac Edition","M56","Nov 2007","PCIe 1.0 x16","128 MB, GDDR3, 128 bit","398 MHz","396 MHz","12 / 5 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 2600 XT Mac Edition","M76","Jul 2007","MXM-II","256 MB, GDDR3, 128 bit","600 MHz","685 MHz","120 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 2400 XT Mac Edition","M74-M","Jun 2007","PCIe 1.0 x16","128 MB, GDDR3, 64 bit","650 MHz","800 MHz","40 / 4 / 4","ATI","Mobile"
"Radeon E2400","RV610","Jun 2007","MXM-II","128 MB, GDDR3, 64 bit","600 MHz","700 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon X2500","M66","Jun 2007","PCIe 1.0 x16","256 MB, DDR2, 128 bit","460 MHz","400 MHz","12 / 5 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 2400","M72-S","May 2007","PCIe 1.0 x16","256 MB, DDR2, 64 bit","450 MHz","400 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 2400 XT","M74-M","May 2007","PCIe 1.0 x16","256 MB, DDR2, 64 bit","600 MHz","400 MHz","40 / 4 / 4","ATI","Mobile"
"Mobility Radeon HD 2600","M76","May 2007","MXM-II","256 MB, DDR2, 128 bit","500 MHz","400 MHz","120 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 2600 XT","M76","May 2007","MXM-II","256 MB, GDDR3, 128 bit","680 MHz","750 MHz","120 / 8 / 4","ATI","Mobile"
"Mobility Radeon HD 2300","M71","Mar 2007","PCIe 1.0 x16","128 MB, DDR2, 128 bit","480 MHz","400 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X2300","M64-M","Mar 2007","PCIe 1.0 x16","64 MB, DDR2, 64 bit","479 MHz","392 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X2300","M64","Mar 2007","PCIe 1.0 x16","128 MB, GDDR3, 64 bit","479 MHz","446 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X2300 HD","M71","Mar 2007","PCIe 1.0 x16","256 MB, DDR2, 32 bit","479 MHz","378 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1900","M68","Jan 2007","PCIe 1.0 x16","256 MB, GDDR3, 256 bit","400 MHz","480 MHz","36 / 8 / 12 / 12","ATI","Mobile"
"Wii GPU","Hollywood","Nov 2006","IGP","64 MB, GDDR3, 64 bit","243 MHz","243 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1350","M62","Sep 2006","PCIe 1.0 x16","128 MB, DDR2, 64 bit","419 MHz","392 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1350","M62","Sep 2006","PCIe 1.0 x16","128 MB, DDR2, 64 bit","371 MHz","324 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1450","M64","Sep 2006","PCIe 1.0 x16","128 MB, DDR2, 128 bit","550 MHz","450 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1800","M58","Mar 2006","MXM-III","256 MB, GDDR3, 256 bit","450 MHz","500 MHz","12 / 8 / 12 / 12","ATI","Mobile"
"Mobility Radeon X1800 XT","M58","Mar 2006","PCIe 1.0 x16","256 MB, GDDR3, 256 bit","550 MHz","650 MHz","16 / 8 / 16 / 16","ATI","Mobile"
"Mobility Radeon X1600","M56","Feb 2006","PCIe 1.0 x16","256 MB, GDDR3, 128 bit","450 MHz","470 MHz","12 / 5 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1700","M66 P","Feb 2006","PCIe 1.0 x16","256 MB, GDDR3, 128 bit","475 MHz","400 MHz","12 / 5 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1300","M52","Jan 2006","PCIe 1.0 x16","128 MB, DDR2, 128 bit","350 MHz","250 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X1400","M54","Jan 2006","PCIe 1.0 x16","128 MB, DDR2, 128 bit","445 MHz","250 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Xbox 360 GPU","Xenos","Nov 2005","IGP","512 MB, GDDR3, 128 bit","500 MHz","700 MHz","240 / 16 / 8","ATI","Mobile"
"Mobility Radeon X300","M22","Nov 2005","PCIe 1.0 x16","128 MB, DDR, 64 bit","350 MHz","250 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X800 XT","M28","Jun 2005","PCIe 1.0 x16","256 MB, GDDR3, 256 bit","480 MHz","550 MHz","16 / 6 / 16 / 16","ATI","Mobile"
"Mobility Radeon X700","M26","Mar 2005","PCIe 1.0 x16","128 MB, GDDR3, 128 bit","350 MHz","350 MHz","8 / 6 / 8 / 4","ATI","Mobile"
"Mobility Radeon X700 XL","M26-CSP128","Mar 2005","PCIe 1.0 x16","128 MB, DDR, 128 bit","350 MHz","330 MHz","8 / 6 / 8 / 4","ATI","Mobile"
"Mobility Radeon X800","M28","Nov 2004","PCIe 1.0 x16","256 MB, GDDR3, 256 bit","400 MHz","400 MHz","12 / 6 / 12 / 12","ATI","Mobile"
"Mobility Radeon 9800","M18","Jul 2004","AGP 8x","256 MB, DDR, 256 bit","350 MHz","300 MHz","8 / 4 / 8 / 8","ATI","Mobile"
"Mobility Radeon 9500","M10","Jun 2004","AGP 4x","128 MB, DDR, 64 bit","230 MHz","190 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9550","M12","Jun 2004","AGP 4x","64 MB, DDR, 64 bit","250 MHz","243 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9600","M10","Jun 2004","AGP 8x","128 MB, DDR, 64 bit","300 MHz","200 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9600 PRO","M10","Jun 2004","AGP 8x","128 MB, DDR, 128 bit","333 MHz","200 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9700","M11","Jun 2004","AGP 8x","256 MB, DDR, 128 bit","450 MHz","275 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9700 SE","M10","Jun 2004","AGP 4x","128 MB, DDR, 64 bit","250 MHz","200 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X600","M24","Jun 2004","PCIe 1.0 x16","128 MB, DDR, 128 bit","400 MHz","250 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon X600 SE","M24C","Jun 2004","PCIe 1.0 x16","64 MB, DDR, 128 bit","400 MHz","250 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9600 PRO Turbo","M10","Feb 2004","AGP 8x","128 MB, DDR, 128 bit","337 MHz","243 MHz","4 / 2 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9200","M9","Mar 2003","AGP 4x","32 MB, DDR, 64 bit","250 MHz","200 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9200","M9+","Mar 2003","AGP 8x","32 MB, DDR, 256 bit","200 MHz","230 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9000","M9","Sep 2002","AGP 4x","64 MB, DDR, 64 bit","240 MHz","200 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9000","M9","Sep 2002","AGP 4x","32 MB, DDR, 64 bit","240 MHz","200 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Mobility Radeon 9000","M9","Sep 2002","AGP 4x","64 MB, DDR, 64 bit","240 MHz","200 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Mobility Radeon","M6","Dec 2001","AGP 4x","16 MB, DDR, 64 bit","144 MHz","144 MHz","1 / 0 / 3 / 1","ATI","Mobile"
"Mobility Radeon","M6","Dec 2001","AGP 4x","16 MB, DDR, 64 bit","144 MHz","144 MHz","1 / 0 / 3 / 1","ATI","Mobile"
"Mobility Radeon 7500","M7","Dec 2001","AGP 4x","32 MB, DDR, 64 bit","230 MHz","183 MHz","2 / 1 / 2 / 1","ATI","Mobile"
"Mobility Radeon 7500","M7","Dec 2001","AGP 4x","32 MB, DDR, 64 bit","280 MHz","200 MHz","2 / 0 / 2 / 1","ATI","Mobile"
"Mobility Radeon 7500C","M7","Dec 2001","AGP 4x","16 MB, DDR, 64 bit","230 MHz","183 MHz","2 / 1 / 2 / 1","ATI","Mobile"
"Mobility Radeon-P","M6","Dec 2001","AGP 4x","32 MB, DDR, 64 bit","166 MHz","166 MHz","1 / 0 / 3 / 1","ATI","Mobile"
"GameCube GPU","Flipper","Sep 2001","IGP","16 MB, SDR, 64 bit","162 MHz","162 MHz","4 / 1 / 4 / 4","ATI","Mobile"
"Rage Mobility 128","M3","Oct 1999","AGP 2x","16 MB, SDR, 64 bit","105 MHz","105 MHz","2 / 0 / 2 / 2","ATI","Mobile"
"Rage Mobility 128","M4","Oct 1999","AGP 4x","16 MB, DDR, 64 bit","105 MHz","105 MHz","2 / 0 / 2 / 2","ATI","Mobile"
"Rage Mobility-M3","M3","Oct 1999","AGP 2x","8 MB, SDR, 64 bit","105 MHz","105 MHz","2 / 0 / 2 / 2","ATI","Mobile"
"Rage Mobility-M4","M4","Oct 1999","AGP 4x","16 MB, SDR, 64 bit","105 MHz","105 MHz","2 / 0 / 2 / 2","ATI","Mobile"
"Rage Mobility-CL","Rage Mobility","Feb 1999","AGP 2x","8 MB, SDR, 64 bit","75 MHz","70 MHz","1 / 0 / 1 / 1","ATI","Mobile"
"Rage Mobility-M","Rage Mobility","Feb 1999","AGP 2x","8 MB, SDR, 64 bit","75 MHz","70 MHz","1 / 0 / 1 / 1","ATI","Mobile"
"Rage Mobility-M1","M1","Feb 1999","AGP 2x","8 MB, SDR, 64 bit","90 MHz","90 MHz","2 / 0 / 2 / 2","ATI","Mobile"
"Rage Mobility-P","Rage Mobility","Feb 1999","AGP 2x","8 MB, SDR, 64 bit","75 MHz","70 MHz","1 / 0 / 1 / 1","ATI","Mobile"
"3D Rage LT PRO AGP","Rage LT","Nov 1997","AGP 2x","8 MB, SDR, 64 bit","75 MHz","100 MHz","1 / 0 / 1 / 1","ATI","Mobile"
"GeForce 845M","GM107","Feb 2015","PCIe 3.0 x16","2048 MB, DDR3, 64 bit","863 MHz","1001 MHz","512 / 32 / 16","NVIDIA","Mobile"
"GeForce GTX 860M OEM","GM107","Feb 2015","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","1020 MHz","1253 MHz","640 / 40 / 16","NVIDIA","Mobile"
"GeForce GTX 965M","GM204","Jan 2015","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","950 MHz","1253 MHz","1024 / 64 / 32","NVIDIA","Mobile"
"GeForce GTX 970M","GM204","Oct 2014","MXM-B (3.0)","6144 MB, GDDR5, 192 bit","924 MHz","1253 MHz","1280 / 80 / 48","NVIDIA","Mobile"
"GeForce GTX 980M","GM204","Oct 2014","MXM-B (3.0)","8192 MB, GDDR5, 256 bit","1038 MHz","1253 MHz","1536 / 96 / 64","NVIDIA","Mobile"
"GeForce 810A","GK208","Jul 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","192 / 16 / 8","NVIDIA","Mobile"
"GeForce 830A","GM108","Jul 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","900 MHz","384 / 16 / 8","NVIDIA","Mobile"
"GeForce 705A","GF119","Jul 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","48 / 8 / 4","NVIDIA","Mobile"
"GeForce 720A","GF117","Jul 2014","PCIe 2.0 x16","2048 MB, DDR3, 64 bit","938 MHz","1000 MHz","96 / 16 / 8","NVIDIA","Mobile"
"GeForce GT 720A","GF117","Jul 2014","PCIe 2.0 x16","2048 MB, DDR3, 64 bit","938 MHz","1000 MHz","96 / 16 / 8","NVIDIA","Mobile"
"GeForce GT 730A","GK208","Jul 2014","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","719 MHz","900 MHz","384 / 20 / 8","NVIDIA","Mobile"
"GeForce 810M","GF117","Mar 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","738 MHz","900 MHz","48 / 8 / 8","NVIDIA","Mobile"
"GeForce 710A","GK208","Mar 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","719 MHz","900 MHz","192 / 16 / 8","NVIDIA","Mobile"
"GeForce 800A","GF119","Mar 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","738 MHz","900 MHz","48 / 8 / 4","NVIDIA","Mobile"
"GeForce 800M","GF117","Mar 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","738 MHz","900 MHz","48 / 8 / 8","NVIDIA","Mobile"
"GeForce 820A","GF117","Mar 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","96 / 16 / 8","NVIDIA","Mobile"
"GeForce 840A","GM108","Mar 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","1001 MHz","384 / 16 / 8","NVIDIA","Mobile"
"GeForce GTX 760A","GK106","Mar 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","628 MHz","1002 MHz","768 / 64 / 16","NVIDIA","Mobile"
"GeForce GTX 850A","GM107","Mar 2014","PCIe 3.0 x16","2048 MB, DDR3, 128 bit","902 MHz","900 MHz","640 / 40 / 16","NVIDIA","Mobile"
"GeForce 830M","GM108","Mar 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","900 MHz","384 / 16 / 8","NVIDIA","Mobile"
"GeForce 840M","GM108","Mar 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","1001 MHz","384 / 16 / 8","NVIDIA","Mobile"
"GeForce GTX 850M","GM107","Mar 2014","PCIe 3.0 x16","2048 MB, DDR3, 128 bit","902 MHz","900 MHz","640 / 40 / 16","NVIDIA","Mobile"
"GeForce GTX 870M","GK104","Mar 2014","MXM-B (3.0)","3072 MB, GDDR5, 192 bit","941 MHz","1250 MHz","1344 / 112 / 24","NVIDIA","Mobile"
"GeForce GTX 880M","GK104","Mar 2014","MXM-B (3.0)","8192 MB, GDDR5, 256 bit","954 MHz","1250 MHz","1536 / 128 / 32","NVIDIA","Mobile"
"GeForce GTX 860M","GK104","Mar 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","797 MHz","1250 MHz","1152 / 96 / 16","NVIDIA","Mobile"
"GeForce GT 730M","GK208","Mar 2014","PCIe 2.0 x8","2048 MB, DDR3, 64 bit","719 MHz","900 MHz","384 / 16 / 8","NVIDIA","Mobile"
